Date,Type,Link
2023-12-21 23:54:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143694265930465280?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7143694265930465280%2C7143747086335877121%29
2023-12-21 21:18:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841811349506?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7143268841811349506%2C7143653365518958592%29
2023-12-21 21:18:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841811349506?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7143268841811349506%2C7143627735221932033%29
2023-12-21 16:42:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143570854558289920
2023-12-21 16:32:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143570837672030208
2023-12-21 16:31:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143549748807974912
2023-12-21 13:33:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841811349506?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7143268841811349506%2C7143272917311696896%29
2023-12-21 03:30:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142634051684765696%29
2023-12-21 03:30:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142570998683410432%29
2023-12-21 03:28:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142718671755399171%29
2023-12-21 03:26:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142567186971242496%29
2023-12-21 03:24:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142669293976014848%29
2023-12-21 03:24:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142602788961767425%29
2023-12-21 03:24:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142572833028694016%29
